dataset,date,strain,movie,cell,patches,cross_area,area,density,ede1
2,20210531,MKY0140,14,Cell03,41,2719,45.2,0.9061,wt
2,20210531,MKY0140,14,Cell04,31,3238,53.9,0.5753,wt
2,20210531,MKY0140,15,Cell01,27,2627,43.7,0.6176,wt
2,20210531,MKY0140,15,Cell02,28,3098,51.6,0.5431,wt
2,20210531,MKY0140,15,Cell03,29,2857,47.5,0.6100,wt
2,20210531,MKY0140,15,Cell04,29,2800,46.6,0.6224,wt
2,20210531,MKY0654,01,Cell01,17,2895,48.2,0.3529,delta
2,20210531,MKY0654,01,Cell02,10,1614,26.9,0.3723,delta
2,20210531,MKY0654,01,Cell03,22,5175,86.1,0.2555,delta
2,20210531,MKY0654,02,Cell01,17,2993,49.8,0.3413,delta
2,20210531,MKY0654,02,Cell02,18,2197,36.6,0.4923,delta
2,20210531,MKY0654,02,Cell03,17,2773,46.1,0.3684,delta
2,20210531,MKY0654,03,Cell01,19,4465,74.3,0.2557,delta
2,20210531,MKY0654,03,Cell02, 7,2639,43.9,0.1594,delta
2,20210531,MKY0654,03,Cell03,26,5585,92.9,0.2798,delta
2,20210531,MKY0654,04,Cell01,15,4121,68.6,0.2187,delta
2,20210531,MKY0654,04,Cell02,16,3450,57.4,0.2787,delta
2,20210531,MKY0654,04,Cell03,18,2915,48.5,0.3711,delta
2,20210531,MKY0654,05,Cell01,18,2925,48.7,0.3698,delta
2,20210531,MKY0654,05,Cell02,19,4060,67.6,0.2812,delta
2,20210531,MKY0654,05,Cell03,14,3933,65.4,0.2139,delta
2,20210531,MKY0654,06,Cell01,21,4086,68.0,0.3088,delta
